0: {wait: 0.0, buy: 0.0} => [wait, buy]
(11, 22): {wait: 22.0, buy: 22.0} => [wait, buy]
(11, 23): {wait: 23.0, buy: 23.0} => [wait, buy]
(11, 24): {wait: 24.0, buy: 24.0} => [wait, buy]
(11, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(11, 26): {wait: 26.0, buy: 26.0} => [wait, buy]
(11, 27): {wait: 27.0, buy: 27.0} => [wait, buy]
(11, 28): {wait: 28.0, buy: 28.0} => [wait, buy]
(11, 29): {wait: 29.0, buy: 29.0} => [wait, buy]
(11, 30): {wait: 30.0, buy: 30.0} => [wait, buy]
(11, 31): {wait: 31.0, buy: 31.0} => [wait, buy]
(11, 32): {wait: 32.0, buy: 32.0} => [wait, buy]
(11, 33): {wait: 33.0, buy: 33.0} => [wait, buy]
(11, 34): {wait: 34.0, buy: 34.0} => [wait, buy]
(11, 35): {wait: 35.0, buy: 35.0} => [wait, buy]
(11, 36): {wait: 36.0, buy: 36.0} => [wait, buy]
(11, 37): {wait: 37.0, buy: 37.0} => [wait, buy]
(11, 38): {wait: 38.0, buy: 38.0} => [wait, buy]
(11, 39): {wait: 39.0, buy: 39.0} => [wait, buy]
(11, 40): {wait: 40.0, buy: 40.0} => [wait, buy]
(11, 41): {wait: 41.0, buy: 41.0} => [wait, buy]
(11, 42): {wait: 42.0, buy: 42.0} => [wait, buy]
(11, 43): {wait: 43.0, buy: 43.0} => [wait, buy]
(11, 44): {wait: 44.0, buy: 44.0} => [wait, buy]
(11, 45): {wait: 45.0, buy: 45.0} => [wait, buy]
(11, 46): {wait: 46.0, buy: 46.0} => [wait, buy]
(11, 47): {wait: 47.0, buy: 47.0} => [wait, buy]
(11, 48): {wait: 48.0, buy: 48.0} => [wait, buy]
(11, 49): {wait: 49.0, buy: 49.0} => [wait, buy]
(11, 50): {wait: 50.0, buy: 50.0} => [wait, buy]
(11, 51): {wait: 51.0, buy: 51.0} => [wait, buy]
(11, 52): {wait: 52.0, buy: 52.0} => [wait, buy]
(11, 53): {wait: 53.0, buy: 53.0} => [wait, buy]
(11, 54): {wait: 54.0, buy: 54.0} => [wait, buy]
(11, 55): {wait: 55.0, buy: 55.0} => [wait, buy]
(12, 0): {wait: 0.46875, buy: 0.0} => [buy]
(12, 1): {wait: 1.125, buy: 1.0} => [buy]
(12, 2): {wait: 2.015625, buy: 2.0} => [buy]
(12, 3): {wait: 3.0, buy: 3.0} => [wait, buy]
(12, 4): {wait: 4.0, buy: 4.0} => [wait, buy]
(12, 5): {wait: 5.0, buy: 5.0} => [wait, buy]
(12, 6): {wait: 6.0, buy: 6.0} => [wait, buy]
(12, 7): {wait: 7.0, buy: 7.0} => [wait, buy]
(12, 8): {wait: 8.0, buy: 8.0} => [wait, buy]
(12, 9): {wait: 9.0, buy: 9.0} => [wait, buy]
(12, 10): {wait: 10.0, buy: 10.0} => [wait, buy]
(12, 11): {wait: 11.0, buy: 11.0} => [wait, buy]
(12, 12): {wait: 12.0, buy: 12.0} => [wait, buy]
(12, 13): {wait: 13.0, buy: 13.0} => [wait, buy]
(12, 14): {wait: 14.0, buy: 14.0} => [wait, buy]
(12, 15): {wait: 15.0, buy: 15.0} => [wait, buy]
(12, 16): {wait: 16.0, buy: 16.0} => [wait, buy]
(12, 17): {wait: 17.0, buy: 17.0} => [wait, buy]
(12, 18): {wait: 18.0, buy: 18.0} => [wait, buy]
(12, 19): {wait: 19.0, buy: 19.0} => [wait, buy]
(12, 20): {wait: 20.0, buy: 20.0} => [wait, buy]
(12, 21): {wait: 21.0, buy: 21.0} => [wait, buy]
(12, 22): {wait: 22.0, buy: 22.0} => [wait, buy]
(12, 23): {wait: 23.0, buy: 23.0} => [wait, buy]
(12, 24): {wait: 24.0, buy: 24.0} => [wait, buy]
(12, 25): {wait: 25.0, buy: 25.0} => [wait, buy]
(12, 26): {wait: 26.0, buy: 26.0} => [wait, buy]
(12, 27): {wait: 27.0, buy: 27.0} => [wait, buy]
(12, 28): {wait: 28.0, buy: 28.0} => [wait, buy]
(12, 29): {wait: 29.0, buy: 29.0} => [wait, buy]
(12, 30): {wait: 30.0, buy: 30.0} => [wait, buy]
(12, 31): {wait: 31.0, buy: 31.0} => [wait, buy]
(12, 32): {wait: 32.0, buy: 32.0} => [wait, buy]
(12, 33): {wait: 33.0, buy: 33.0} => [wait, buy]
(12, 34): {wait: 34.0, buy: 34.0} => [wait, buy]
(12, 35): {wait: 35.0, buy: 35.0} => [wait, buy]
(12, 36): {wait: 36.0, buy: 36.0} => [wait, buy]
(12, 37): {wait: 37.0, buy: 37.0} => [wait, buy]
(12, 38): {wait: 38.0, buy: 38.0} => [wait, buy]
(12, 39): {wait: 39.0, buy: 39.0} => [wait, buy]
(12, 40): {wait: 40.0, buy: 40.0} => [wait, buy]
(12, 41): {wait: 41.0, buy: 41.0} => [wait, buy]
(12, 42): {wait: 42.0, buy: 42.0} => [wait, buy]
(12, 43): {wait: 43.0, buy: 43.0} => [wait, buy]
(12, 44): {wait: 44.0, buy: 44.0} => [wait, buy]
(12, 45): {wait: 45.0, buy: 45.0} => [wait, buy]
(12, 46): {wait: 46.0, buy: 46.0} => [wait, buy]
(12, 47): {wait: 47.0, buy: 47.0} => [wait, buy]
(12, 48): {wait: 48.0, buy: 48.0} => [wait, buy]
(12, 49): {wait: 49.0, buy: 49.0} => [wait, buy]
(12, 50): {wait: 50.0, buy: 50.0} => [wait, buy]
(12, 51): {wait: 51.0, buy: 51.0} => [wait, buy]
(12, 52): {wait: 52.0, buy: 52.0} => [wait, buy]
(12, 53): {wait: 53.0, buy: 53.0} => [wait, buy]
(12, 54): {wait: 54.0, buy: 54.0} => [wait, buy]
(12, 55): {wait: 55.0, buy: 55.0} => [wait, buy]
(12, 56): {wait: 56.0, buy: 56.0} => [wait, buy]
(12, 57): {wait: 57.0, buy: 57.0} => [wait, buy]
(12, 58): {wait: 58.0, buy: 58.0} => [wait, buy]
(13, 0): {wait: 0.46875, buy: 0.0} => [buy]
(13, 1): {wait: 1.125, buy: 1.0} => [buy]
