0: {'wait': 0.0, 'buy': 0.0} => wait
(9, 65): {'wait': 60.0, 'buy': 65.0} => wait
(10, 0): {'buy': 0.0} => buy
(10, 1): {'buy': 1.0} => buy
(10, 2): {'buy': 2.0} => buy
(10, 3): {'buy': 3.0} => buy
(10, 4): {'buy': 4.0} => buy
(10, 5): {'buy': 5.0} => buy
(10, 6): {'buy': 6.0} => buy
(10, 7): {'buy': 7.0} => buy
(10, 8): {'buy': 8.0} => buy
(10, 9): {'buy': 9.0} => buy
(10, 10): {'buy': 10.0} => buy
(10, 11): {'buy': 11.0} => buy
(10, 12): {'buy': 12.0} => buy
(10, 13): {'buy': 13.0} => buy
(10, 14): {'buy': 14.0} => buy
(10, 15): {'buy': 15.0} => buy
(10, 16): {'buy': 16.0} => buy
(10, 17): {'buy': 17.0} => buy
(10, 18): {'buy': 18.0} => buy
(10, 19): {'buy': 19.0} => buy
(10, 20): {'buy': 20.0} => buy
(10, 21): {'buy': 21.0} => buy
(10, 22): {'buy': 22.0} => buy
(10, 23): {'buy': 23.0} => buy
(10, 24): {'buy': 24.0} => buy
(10, 25): {'buy': 25.0} => buy
(10, 26): {'buy': 26.0} => buy
(10, 27): {'buy': 27.0} => buy
(10, 28): {'buy': 28.0} => buy
(10, 29): {'buy': 29.0} => buy
(10, 30): {'buy': 30.0} => buy
(10, 31): {'buy': 31.0} => buy
(10, 32): {'buy': 32.0} => buy
(10, 33): {'buy': 33.0} => buy
(10, 34): {'buy': 34.0} => buy
(10, 35): {'buy': 35.0} => buy
(10, 36): {'buy': 36.0} => buy
(10, 37): {'buy': 37.0} => buy
(10, 38): {'buy': 38.0} => buy
(10, 39): {'buy': 39.0} => buy
(10, 40): {'buy': 40.0} => buy
(10, 41): {'buy': 41.0} => buy
(10, 42): {'buy': 42.0} => buy
(10, 43): {'buy': 43.0} => buy
(10, 44): {'buy': 44.0} => buy
(10, 45): {'buy': 45.0} => buy
(10, 46): {'buy': 46.0} => buy
(10, 47): {'buy': 47.0} => buy
(10, 48): {'buy': 48.0} => buy
(10, 49): {'buy': 49.0} => buy
(10, 50): {'buy': 50.0} => buy
(10, 51): {'buy': 51.0} => buy
(10, 52): {'buy': 52.0} => buy
(10, 53): {'buy': 53.0} => buy
(10, 54): {'buy': 54.0} => buy
(10, 55): {'buy': 55.0} => buy
(10, 56): {'buy': 56.0} => buy
(10, 57): {'buy': 57.0} => buy
(10, 58): {'buy': 58.0} => buy
(10, 59): {'buy': 59.0} => buy
(10, 60): {'buy': 60.0} => buy
(10, 61): {'buy': 61.0} => buy
(10, 62): {'buy': 62.0} => buy
(10, 63): {'buy': 63.0} => buy
(10, 64): {'buy': 64.0} => buy
(10, 65): {'buy': 65.0} => buy
(10, 66): {'buy': 66.0} => buy
(10, 67): {'buy': 67.0} => buy
(10, 68): {'buy': 68.0} => buy
(10, 69): {'buy': 69.0} => buy
(10, 70): {'buy': 70.0} => buy
